"","SUPERMERCADO","DISPONIBILIDAD","","","","","","","","","","","","","","",""
"","TOTTUS - DISPONIBLES","50","","","","","","","","","","","","","","",""
"","TOTTUS - NO DISPONIBLES","10","","","","","","","","","","","","","","",""
"","LIDER - DISPONIBLES","54","","","","","","","","","","","","","","",""
"","LIDER - NO DISPONIBLES","6","","","","","","","","","","","","","","",""
"","JUMBO - DISPONIBLES","56","","","","","","","","","","","","","","",""
"","JUMBO - NO DISPONIBLES","4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","CANASTA VEGANA TOTTUS","","","","","","CANASTA VEGANA LIDER","","","","","","CANASTA VEGANA JUMBO","","","",""
"","PRODUCTO","MARCA","PRECIO SUPERMERCADO TOTTUS ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD","","PRODUCTO","MARCA","PRECIO SUPERMERCADO LIDER ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD","","PRODUCTO","MARCA","PRECIO SUPERMERCADO JUMBO ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD"
"","Mantequilla vegana","-","-","-","NO","","Prepizza vegana familiar","Lider","$3,490","445 g","SI","","Mantequilla vegana","Earth","$8,890 ","425 g","SI"
"","Margarina vegetal","-","-","-","NO","","Agua mineral","Manantial","$1,090","3 L","SI","","Margarina vegetal","No disponible","NO","NO","NO"
"","Aceite vegetal","Tottus","$1,690","900 ml","SI","","Mani","Marco Polo","$890","150 g","SI","","Aceite vegetal","Cuisine&Co","$1,850 ","900 ml","SI"
"","Platano","Tottus","$1,490","/kg","SI","","Porotos blancos","Martini","$1,890","500 g","SI","","Platano","Granel Jumbo","$795 ","1 a 2 unidades","SI"
"","Manzana","Tottus","$1,890","1 kg","SI","","Garbanzos","Martini","$2,690","500 g","SI","","Manzana","Granel Jumbo","$1,295 ","2 a 3 unidades","SI"
"","Lentejas","Tottus","$2,990","1 kg","SI","","Arvejas","Martini","$1,290","500 g","SI","","Lentejas","Cuisine&Co","$2,490 ","1 kg","SI"
"","Lechuga","Tottus","$1,290","1 unidad","SI","","Lentejas","Martini","$1,790","500 g","SI","","Lechuga","Granel Jumbo","$1,390 ","1 unidad","SI"
"","Zapallo","Tottus","$1,990","700 gr","SI","","Sustituto de huevo (harina de garbanzo, linaza o aquafaba)","Mi Tierra","$2,090","400 g","SI","","Zapallo","Proverde","$1,990 ","700 g","SI"
"","Limón ","Tottus","$1,590","1 kg","SI","","Hamburguesa vegana","Mister Veggie","$790","100 g","SI","","Limon ","Granel Jumbo","$1,790 ","1 kg","SI"
"","Palta","Tottus","$2,950","700 gr","SI","","Bebida energizante","Mr. Big","$1,290","720 ml","SI","","Palta","Granel Jumbo","$3,245 ","2 unidades","SI"
"","Tomate","Tottus","$1,950","1 kg","SI","","Platano","Multi Marca","$1,450","1 kg","SI","","Tomate","Granel Jumbo","$995 ","1 a 2 unidades","SI"
"","Zanahoria","Tottus","$1,190","1 kg","SI","","Manzana","Multi Marca","$1,990","1 kg","SI","","Zanahoria","Granel Jumbo","$1,290 ","1 kg","SI"
"","Cebolla","Tottus","$1,550","1 kg","SI","","Lechuga","Multi Marca","$1,190","1 unidad","SI","","Cebolla","Granel Jumbo","$795 ","1 a 2 unidades","SI"
"","Choclo congelado","Minuto Verde","$1,790","500 gr","SI","","Zapallo","Multi Marca","$3,290","1 unidad","SI","","Choclo congelado","Minuto Verde","$1,690 ","500 g","SI"
"","Papa","Tottus","$950","1 kg","SI","","Limon ","Multi Marca","$1,590","1 Kg","SI","","Papa","Granel Jumbo","$990 ","1 kg ","SI"
"","Azúcar","Iansa","$1,450","1 kg","SI","","Palta","Multi Marca","$2,790","700 g","SI","","Azucar","Cuisine&Co","$1,290 ","1 kg","SI"
"","Chocolate vegano","Manare","$5,090","100 gr","SI","","Tomate","Multi Marca","$1,950","1 Kg","SI","","Chocolate vegano","Valor","$3,790 ","100 g","SI"
"","Salsa de tomate","Carozzi","$950","200 gr","SI","","Zanahoria","Multi Marca","$1,190","1 Kg","SI","","Salsa de tomate","Lucchetti","$790 ","200g","SI"
"","Helado vegano","NOTCO","$4,790","298 ml","SI","","Cebolla","Multi Marca","$1,550","1 Kg","SI","","Helado vegano","NOTCO","$4,990.00","65g","SI"
"","Café","Nescafé","$4,990","100 gr","SI","","Papa","Multi Marca","$950","1 kg ","SI","","Cafe","Cuisine&Co","$4,490 ","150 g","SI"
"","Té","Supremo","$2,750","100 gr","SI","","Cafe","Nescafe","$2,790","50 g","SI","","Te","Supremo","$2,490 ","50 unidades","SI"
"","Bebida gaseosa (apta vegana)","Coca Cola","$1,990","1,5 lt","SI","","Yogurt vegano","Nestle","$550","115 g","SI","","Bebida gaseosa (apta vegana)","Sprite","$2,450 ","3 L","SI"
"","Jugo liquido","Guallarauco","$5,590","1,75 lt","SI","","Nuggets veganos","Notco","$4,490","300 g","SI","","Jugo liquido","Guallarauco","$2,690 ","1 L","SI"
"","Néctar líquido","Del Valle","$1,690","1,5 lt","SI","","Salchichas veganas","Notco","$3,290","250g","SI","","Nectar liquido","Del Valle","$1,690 ","1.5 L","SI"
"","Galleta dulce vegana","Oreo","$830","108 gr","SI","","Chocolate vegano","Notco","$4,990","150 g","SI","","Galleta dulce vegana","Ecovida","$2,390 ","140 g","SI"
"","Caramelo vegano","Merello","$3,350","250 gr","SI","","Galleta dulce vegana","Oreo","$830","108 g","SI","","Caramelo vegano","Gicopa","$2,590 ","150 g","SI"
"","Galleta salada vegana","Sanissimo","$2,190","108 gr","SI","","Bebida gaseosa (apta vegana)","Pepsi","$2,000","3 L","SI","","Galleta salada vegana","Slez","$1,000 ","140 g","SI"
"","Papas fritas","Lay's","$1,650","200 gr","SI","","Avena","Quaker","$2,150","700 g","SI","","Papas fritas","Marco Polo","$2,490 ","350 g","SI"
"","Agua mineral","Cachantun","$1,090","1,6 lt","SI","","Queso vegano","Quillayes","$3,890","200 g","SI","","Agua mineral","Manantial","$1,000 ","3 L","SI"
"","Refresco en polvo","Vivo","$270","8 gr","SI","","Refresco en polvo","Sprim","$310","20 g","SI","","Refresco en polvo","Zuko","$280 ","15 g","SI"
"","Bebida energizante","Redbull","$1,650","290 ml","SI","","Te","Supremo","$1,150","20 unidades","SI","","Bebida energizante","Score","$1,000 ","473 cc","SI"
"","Refresco isotónico","Powerade","$1,090","600 ml","SI","","Arroz blanco","Tucapel","$2,850","1kg","SI","","Refresco isotonico","Power Ade","$1,250 ","1.1 L","SI"
"","Torta vegana de 15 a 20 personas","-","-","-","NO","","Leche vegetal","Vilay","$2,190","1 L","SI","","Torta vegana de 15 a 20 personas","Jumbo","$19,900 ","12  porciones","SI"
"","Prepizza vegana familiar","-","-","-","NO","","Tofu","Zen Organics","$3,090","300 g","SI","","Prepizza vegana familiar","No disponible","NO","NO","NO"
"","PRECIO TOTAL:","","$113,630","","","","TOTAL","","$104,440","","","","60 productos","total","$153,303 ","-",""
"","TOTAL: 60 PRODUCTOS","","","","NO: 10","","","","","","NO: 6","","","","","","NO: 4"
"","","","","","SI: 50","","","","","","SI: 54","","","","","","SI: 56"
