"PRODUCTOS","ene-24","feb-24","mar-24","abr-24","may-24","jun-24","jul-24","ago-24","sept-24","oct-24","nov-24","dic-24","ene-25","feb-25","mar-25","abr-25","may-25","oct-25","Tipo de dieta"
"PASTAS","1049.6","1023.3","1037.6","1049.8","995.4","970.8","921.6","954.9","937.5","945.4","784.8","729.1","936.6","889.3","888.2","930.5","825.9","825.9","Tradicional"
"PERAS","1429.4","1479.4","1531.8","1511.2","1533.9","1457.4","1471.6","1484.1","1507.3","1572.3","1405.5","1447.7","1402.2","1443.9","1504.9","1487.1","1395.5","1395.5","Tradicional"
"PESCADOS EN CONSERVA","1597.2","1478.3","1601.6","1629.5","1597.7","1585.3","1510.4","1511.9","1530.1","1597.2","1531.2","1374.5","1603.2","1488.0","1531.9","1541.9","1550.0","1550.0","Tradicional"
"PESCADOS FRESCOS O REFRIGERADOS","6171.7","6179.6","6358.7","6373.0","6458.4","6350.0","6492.7","6330.7","6171.6","6772.4","5981.8","6228.0","6691.1","6784.1","7291.5","7597.5","7051.5","7051.5","Tradicional"
"PIMIENTOS MORRONES","1206.7","1092.6","1038.0","1027.8","971.8","970.2","1043.3","1218.9","1271.0","1358.9","1045.3","968.9","1003.4","925.3","945.5","933.8","869.4","869.4","Tradicional"
"PLÁTANOS","1389.7","1372.8","1343.1","1361.5","1304.7","1234.9","1236.1","1227.6","1228.6","1368.9","1194.2","1156.1","1273.1","1293.1","1336.7","1299.3","1183.0","1183.0","Tradicional"
"PLATOS PREPARADOS ADQUIRIDOS EN TIENDAS Y SUPERMERCADOS","2551.1","2815.5","2784.3","2801.5","2825.0","2808.0","2818.4","2761.5","2718.7","2592.2","2369.0","2641.0","2689.7","2675.5","2646.0","2734.5","2675.3","2675.3","Tradicional"
"POSTRES LÁCTEOS","477.0","496.4","477.1","491.5","479.5","495.3","477.4","464.2","479.0","464.7","446.1","364.0","465.2","474.4","472.4","464.1","458.6","458.6","Tradicional"
"POSTRES NO LÁCTEOS","517.9","552.9","538.0","526.6","520.7","527.2","511.1","532.3","538.0","530.6","505.0","513.5","538.2","506.6","491.8","493.2","486.5","486.5","Tradicional"
"QUESOS","5420.3","5367.6","5606.4","5686.8","5685.5","5374.9","5493.6","5520.7","5428.9","5518.2","4658.7","5011.3","5435.5","5282.0","5428.5","5536.0","4736.8","4736.8","Tradicional"
"SAL","423.9","422.5","419.4","444.7","444.2","413.7","424.0","420.2","416.5","430.6","334.2","365.0","421.3","410.4","426.9","451.4","360.3","360.3","Tradicional"
"SALSAS DE TOMATE","825.9","847.8","833.6","877.4","859.0","856.1","828.7","819.3","822.8","818.2","734.9","730.3","818.6","800.2","774.0","777.0","669.3","669.3","Tradicional"
"SNACKS","1366.9","1444.3","1492.3","1528.8","1609.8","1646.6","1656.3","1681.8","1566.0","1685.8","1538.9","1574.0","1639.3","1401.3","1344.6","1484.9","1400.5","1400.5","Tradicional"
"SOPAS Y CREMAS","608.1","545.2","582.8","556.1","588.1","549.8","477.7","535.3","565.8","569.2","507.0","541.6","571.6","556.2","559.6","566.0","511.8","511.8","Tradicional"
"SUPLEMENTOS ALIMENTICIOS Y NUTRICIONALES","27782.7","27650.0","27068.0","28295.7","28273.3","28602.6","28228.5","26403.0","26943.5","27904.4","26379.265306122","26557.6","24937.0","27617.8","28588.9","30101.4","28731.1","28731.1","Tradicional"
"SUSTITUTOS VEGETALES DE CARNE","1171.4","1141.4","1160.7","1337.7","1327.9","1548.8","1582.0","1583.9","1572.4","1620.9","1420.3","1428.9","1565.9","1560.8","1557.7","1557.6","1500.0","1500.0","Tradicional"
"TÉ","2553.8","2576.4","2412.9","2162.1","2624.8","2445.9","2568.1","2200.2","2304.2","2387.4","2366.4","2361.8","2521.8","2365.2","2254.3","2564.4","2162.0","2162.0","Tradicional"
"TOMATES","1498.3","1439.5","1372.2","1345.7","1335.2","1484.5","1405.6","1443.6","1492.2","1428.7","1306.3","1195.6","1210.6","1294.1","1543.1","1624.6","1542.5","1542.5","Tradicional"
"VERDURAS CONGELADAS","1394.6","1519.6","1614.2","1611.1","1667.9","1680.5","1726.8","1695.1","1553.4","1646.4","1616.0","1336.7","1711.1","1688.9","1667.9","1668.0","1650.7","1650.7","Tradicional"
"VERDURAS DE ESTACIÓN","1150.9","1106.2","1127.0","1155.1","1176.6","1170.9","1186.3","1213.3","1235.5","1227.0","1122.2","1154.7","1176.1","1153.2","1181.4","1182.7","1128.7","1128.7","Tradicional"
"VERDURAS ENCURTIDAS","3687.2","3862.2","4145.5","4473.9","4525.1","4600.8","5028.4","5285.8","5247.5","5294.8","4849.7","5202.0","5270.3","5045.4","5372.1","5516.6","5265.6","5265.6","Tradicional"
"YOGURES Y PRODUCTOS SIMILARES","830.5","832.9","826.5","819.6","787.7","825.5","781.8","795.4","788.0","823.2","775.5","730.8","818.8","804.0","805.7","825.7","809.2","809.2","Tradicional"
"ZANAHORIAS","953.4","958.3","950.2","931.2","909.9","862.5","895.7","916.3","958.0","1016.8","922.9","950.5","1006.9","971.8","951.6","913.6","851.3","851.3","Tradicional"
"ZAPALLOS","1393.0","1276.5","1246.7","1193.2","1160.3","1181.7","1144.0","1239.2","1262.1","1268.2","1065.8","1194.3","1257.3","1206.2","1240.3","1259.4","1704.4","1704.4","Tradicional"
"ZAPALLOS ITALIANOS","553.2","549.2","604.7","572.7","585.6","646.1","652.7","688.8","664.4","623.8","496.1","517.3","579.1","580.1","599.7","562.2","549.7","549.7","Tradicional"
"ACEITE DE OLIVA","5722.6","6115.7","5769.5","5477.5","4986.4","7003.5","8980.8","9051.2","9465.9","9735.1","9264.5","9548.0","9656.0","9537.7","9240.2","9585.1","9013.1","9013.1","Vegano"
"ACEITE VEGETAL Y DE MARAVILLA","2414.9","2170.9","2211.7","2371.4","2403.7","2372.6","2392.6","2394.0","2449.0","2558.3","2294.8","2078.8","2474.8","2546.3","2514.7","2541.6","2375.8","2375.8","Vegano"
"ADEREZOS","2271.5","2137.8","2246.6","2295.9","2253.6","2227.9","2301.5","2282.8","2188.7","2468.6","2128.7","1839.4","2300.1","2328.6","2324.1","2139.6","2169.3","2169.3","Vegano"
"AGUA EMBOTELLADA","913.0","872.9","885.2","923.7","915.7","875.2","874.8","864.1","829.3","941.2","784.4","738.9","924.2","840.9","839.3","909.9","826.9","826.9","Vegano"
"ALIÑOS","534.8","547.9","556.1","533.6","525.1","537.5","557.9","619.7","607.8","571.7","497.8","526.5","566.7","572.1","579.7","565.7","525.2","525.2","Vegano"
"ARROZ","1331.7","1327.5","1432.7","1520.8","1590.3","1481.8","1550.6","1569.2","1578.8","1606.5","1296.3","1359.8","1560.6","1527.4","1538.1","1520.8","1300.7","1300.7","Vegano"
"AZÚCAR","1209.8","1201.9","1197.5","1203.9","1208.4","1028.4","1082.4","1074.6","1026.4","1085.1","860.2","921.0","1072.3","1044.4","1066.1","1093.9","871.8","871.8","Vegano"
"BEBIDAS GASEOSAS","1592.9","1374.6","1560.3","1621.1","1627.9","1596.8","1613.6","1606.7","1576.5","1623.5","1352.3","1451.9","1570.4","1564.2","1560.0","1564.5","1389.5","1389.5","Vegano"
"BEBIDAS VEGETALES","1753.0","1797.0","1824.6","1781.6","1914.5","1986.7","1957.5","1877.0","1936.9","1935.5","1831.6","1706.3","1780.7","1771.7","1753.2","1785.3","1712.8","1712.8","Vegano"
"CAFÉ Y SUCEDÁNEOS","3473.8","3336.4","3375.8","3507.4","3698.4","3336.6","3282.9","3524.3","3323.0","3547.3","2859.9","3140.2","3340.2","3270.7","3475.0","3459.4","3447.6","3447.6","Vegano"
"CEBOLLAS Y CEBOLLINES","905.8","862.2","860.2","864.9","872.7","898.3","882.7","898.2","907.5","903.1","762.7","781.3","834.6","830.3","838.7","827.9","778.4","778.4","Vegano"
"CEREALES PARA EL DESAYUNO","2331.3","2149.9","2296.7","2274.6","2555.5","2505.3","2521.1","2548.1","2622.4","2624.1","2452.3","2394.8","2556.4","2469.6","2428.0","2417.1","2363.6","2363.6","Vegano"
"ENDULZANTES","3023.5","3009.3","3002.3","3115.8","3071.9","2964.2","3105.1","3145.3","3206.1","3304.6","2944.1","2766.5","2969.4","3086.7","2960.2","2997.6","2828.5","2828.5","Vegano"
"FRUTAS DE ESTACIÓN","1952.3","1897.6","1851.3","1469.6","1163.4","1060.1","1026.8","1034.1","1147.7","1253.0","1245.3","1812.8","1954.7","1887.6","1900.3","1323.0","1080.6","1080.6","Vegano"
"FRUTAS PRESERVADAS","2613.9","2647.9","2642.5","2810.3","2762.2","2663.0","2720.0","2680.2","2569.7","2668.5","2421.5","2316.4","2559.4","2480.7","2495.3","2655.7","2379.2","2379.2","Vegano"
"FRUTOS SECOS","1285.4","1288.6","1295.1","1300.0","1320.9","1110.6","1079.3","1090.1","1069.7","1161.8","874.2","953.3","1247.4","1133.2","1127.4","1256.2","951.1","951.1","Vegano"
"HARINA DE OTROS CEREALES","2429.5","2436.7","2629.3","2722.7","2795.4","3047.1","3007.3","2987.6","2974.1","3005.6","2805.5","2738.1","3000.5","2838.9","2847.1","2638.2","2492.5","2492.5","Vegano"
"HARINA DE TRIGO","1320.1","1205.6","1288.4","1246.5","1212.3","1116.5","1090.7","1100.7","1077.1","1066.9","915.9","902.2","1105.7","1032.4","1036.7","1015.5","878.8","878.8","Vegano"
